codigo,descricao,gtin,preco,estoque
555725,ESCONDIDINHO SEARA 300G,7894904296316,19.9,6000
555738,KIT TIC TAC BLACK GLOW,7896025540217,13.9,1000
1008,BISC GIRASSOL ROSCA 250G BAUNILHA,7898016290736,4.49,0
1051,ALFAJOR SEU DIVINO CHOCOLTE 40G,7898567351252,12.9,0
1052,ALFAJOR SEU DIVINO CHOCO 40G,7898567350903,12.9,0
1053,ALFAJOR SEU DIVINO BRANCO 40G,7898567350996,12.9,0
1160,BISC MARILAN 300G AGUA SAL,7896003740189,4.99,99000
1161,BISC MARILAN 365G C CRACKER INTEGRAL,7896003738667,8.99,0
1162,BISC MARILAN 300G MARIA,7896003740271,4.99,123000
1163,BISC MARILAN 300G CREM CRECKER 3,7896003740202,4.99,120000
1205,IOIO MIX CHOCO 30G,7899970402463,4.99,0
5454,VISC TORRADA INTEGRAL 120GR,7891962052571,5.49,32000
5455,VISC TORRADA MULTIGRAOS 120GR,7891962052588,5.49,32000
5456,VISC TORRADA TRADICIONAL 120GR,7891962052564,5.49,32000
500086,BISC GERMANI 345G LEITE,7898045271782,5.99,120000
501593,BISC ZEZE FURA BOLO 180G CHOCOLATE,7896200001823,6.99,16000
502040,BISC RECH ISABELA MOUSSE 150G,7896022057077,3.99,90000
502117,BISC RECH NESTLE 140G CLASSIC,7891000051801,5.99,4000
503886,BISC RECH NESCAU 140G,7891000020777,5.99,24000
504678,BISC CLUB SOCIAL 144G QUEIJO,7622210644534,6.49,364000
504817,BISC INT COOKIES VITAO CAST PARA 200G,7896063233522,12.9,0
505103,BISC CLUB SOCIAL RECH 104G QUEIJO/TOM MANJERICAO,7622210661609,6.49,159000
505238,BISC GERMANI 175G GRISSINI,7898045271614,3.99,137000
505679,BISC NESTLE TOSTINES 200G AGUA,7891168100069,4.99,0
505680,BISC NESTLE TOSTINES 200G MAIZENA,7891168100014,4.69,0
505685,BISC CLUB SOCIAL 141G PRESUNTO,7622210641632,6.49,240000
510316,WAFER NESTLE 110G CLASSIC,7891000077948,4.99,1000
510348,WAFER NESTLE 110G PRESTIGIO,7891000077924,4.99,6000
510456,WAFER NESTLE 110G NEGRESCO,7891000077962,4.99,9000
511092,BISC GERMANI 400G MARIA CHOCOLATE,7898045279108,5.99,200000
511378,WAFER VISCONTI 120G MORANGO,7891962035536,3.49,84000
511379,WAFER VISCONTI 120G CHOCOLATE,7891962035529,3.49,48000
512151,BISC ISABELA TORTINHAS 160G TRUFA,7896022075453,3.69,1
512254,BISC ZEZE COOKIES 150G CASTANHA PARA,7896200001533,6.99,29000
512255,BISC ZEZE COOKIES 150G BANANA/AVEIA,7896200001540,6.99,49000
512256,BISC ZEZE COOKIES 150G FRUTAS CITRICAS,7896200001557,6.99,30000
512428,BISC ORQUIDEA 400G MARIA CHOCOLATE,7896412801662,8.49,110000
512431,BISC ORQUIDEA 400G AGUA E SAL,7896412801624,7.99,0
512433,BISC ORQUIDEA 400G LEITE,7896412801709,7.99,0
512720,BISC CLUB SOCIAL RECH 106G MUSSARELA,7622210661661,6.49,200000
512838,WAFER BAUDUCCO 140G MORANGO,7891962037004,4.49,52000
513148,BISC ZEZE PETISK 80G SALAMINHO,7896200000826,2.99,35000
513149,BISC ZEZE PETISK 80G QUEIJO,7896200000819,2.99,17000
513150,BISC ZEZE PETISK 80G CEBOLA SALSA,7896200000802,2.99,14000
513433,BISC RECH DANIX SNAKE 140G CHOC,7896058254617,2.29,0
513581,BISC RECH MOCA 140G,7891000089255,5.99,2
513705,WAFER BAUDUCCO 140G TRIPLO CHOCOLATE,7891962037028,4.49,138000
514403,BISC DOMELLY 300G AGUA E SAL,7898088104108,4.69,412000
514411,BISC DOMELLY 280G CHOC,7898088103019,4.99,582000
514884,BISC DOMELLY 300G C. CRACKER,7898088104122,4.69,297000
514894,TORRADINHA BAUDUCO CX 110G.,7891962005959,9.9,8000
515184,WAFER BAUDUCCO 140G CHOC AVELA,7891962036991,4.49,50000
515604,BISC BAUDUCCO RECHEADINHO 130G 515604,7891962026336,4.99,30000
1 MERCADO FROZZA E FERNANDES LTDA - MT,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
TABELA DA LISTA DE PREÇO 1 / 1 / 1,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
Estado:  RIO GRANDE DO SUL  Valida até: 11/01/2026,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
516916,BISC RECH TORTISSIMAS 130G CHOC LEITE,7896412802461,3.69,0
516917,BISC RECH TORTISSIMAS 130G CHOCOLATE,7896412802454,3.69,18000
516918,BISC RECH TORTISSIMAS 130G LIMAO,7896412802478,3.69,42000
516919,BISC RECH TORTISSIMAS 130G MORANGO,7896412802485,3.69,55000
518768,WAFFLE MOINHO WAFERS 280G,7898945660044,19.9,0
518809,CHOC BIS XTRA 45G,7622210534576,5.99,729000
519183,BISC ZEZE 250G CRICKER INTEGRAL,7896200051644,6.99,15000
519566,BISC RECHEADO OREO 144G,7622210755544,9.9,25000
519834,BISC COOKIE PARATI 60G CHOCOLATE,7896011107868,2.89,411000
520099,BISC HEPP 300G BROA POLVILHO,7898283150214,13.9,0
520102,BISC HEPP 350G MEL,7898283150580,13.9,22000
520104,BISC HEPP 350G CHAMPAGNE 520104,7898283150511,13.9,2000
520105,BISC HEPP 300G AMANT C/ GOIABA,7898283150016,13.9,9000
520106,BISC HEPP 225G ESQUECIDO,7898283150689,13.9,11000
520109,BISC HEPP 300G NATAL,7898283150047,13.9,8000
520110,MERENGUE HEPP 100G TRAD,7898283150306,8.99,909000
520158,BISC BELVITA 90G,7622300451462,3.69,0
520395,BISC ZEZE 200G AGUA SAL,7896200002219,4.49,101000
520503,WAFER LOWCUCAR 115G DC LEITE,7896292001534,10.98,6000
520513,BISC RECANTO COLONIAL 350G,7898040460020,13.9,30000
520594,BISC RECH PASSATEMPO 130G,7891000051351,3.99,112000
520969,BISC OREO ORIGINAL 36G UNITARIO,7622300830083,2.49,6000
520993,BISC MARILAN PIT STOP 124G RECHEADO,7896003703108,4.99,0
521081,BISC MARILAN DISTRACAO 320G SABORES,7896003702606,10.9,43000
521411,BISC HEPP 150G GROSTOLIS FINOS,7898283150825,12.9,31000
521593,BISC HEPP 200G FOLHADO ESPECIAL,7898911682001,13.9,5000
522276,BISCOITO SALG TUCS 100G,7896061300189,2.99,442000
522391,BISC PARATI 400G GERGELIN,7896011105826,9.9,103000
522873,BISC PIT STOP 80G PETISCO/CALAB/ACEB,7896003704365,3.99,0
523394,BISC PIT STOP 80G CEBOLA/SALSA,7896003704341,3.99,0
523743,BISC CLUB SOCIAL 288G ECONOMICO,7622300848453,11.9,15000
524532,BISC COOKIE MARILAN 80G,7896003704471,5.9,0
524535,BISC RECH TORTUGUITA 120G 524535,7896058256215,2.99,23000
525023,MINI BISC ARROZ CAMIL 150G TRAD,7896006779674,8.99,16000
525115,BISC BAUDUCCO RECHEADINHO 130G 525115,7891962026329,4.99,59000
525548,BISC HEPP 300G FOLHADO DOCE,7898911681769,12.9,9000
525549,BISC HEPP 300G AMANT PALITO 525549,7898283150184,13.9,8000
525551,BISC HEPP 250G CUECA VIRADA,7898911681554,13.9,4000
525691,BISC DELICIAS DA VOVO 350G BOLACHAO MEL,7898129610131,14.9,20000
