1 MERCADO FROZZA E FERNANDES LTDA - MT;;;;;;;;;;;;;;11/01/2026;;;;;;
TABELA DA LISTA DE PREÇO 1 / 1 / 1;;;;;;;;;;;;;;21:32;;;;;;
Estado:  RIO GRANDE DO SUL  Valida até: 11/01/2026;;;;;;;;;;;;;;Vlp403;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Código;Descrição;;GTIN;Un A;%Com;;Emb;Tab1;Tab1;;Tab1;Disponível;;;ICMS;
;;;;;;;;;;;;;;;;;;;;;;;;;
DEPARTAMENTO - 1 - GERAL;;;;;;;;;
      CATEGORIA - 99 - GERAL;;;;;;;;;
1554;;CANTONEIRA BANHEIRO BRANCA;;;7896779609574;;;;;; 1;21,89;21,89;;;21,89;;3,000;;;;;17%;;
1555;;CANTONEIRA P/ BANHEIRO PRETA 38CM;;;7896779609512;;;;;; 1;;;;;;;3,000;;;;;17%;;
505579;;SACHE FUGINE UN;;;0;;;;;; 1;0,30;0,30;;;0,30;;;;;;;17%;;
527964;;QUADRO DE PORTAS REDRIGERADAS;;;0;;;;;; 1;;;;;;;;;;;;Sbt;;
541608;;VALE GAS UN 13KG;;;0;;;;;; 1;120,00;120,00;;;120,00;;;;;;;17%;;
553148;;ENERGIA ELETRICA 553148;;;0;;;;;; 1;;;;;;;93,638;;;;;12%;;
553645;;RELATIVA A LIQUIDACAO NO MCP;;;0;;;;;; 1;;;;;;;;;;;;17%;;
554725;;PERFIL ALUMINIO ES-492 1250MM ALUMINIO;;;0;;;;;; 1;;;;;;;;;;;;17%;;
554726;;TRANSFORMADOR 20/25/30 5A BIVOLT - ALUMINIO;;;0;;;;;; 1;;;;;;;;;;;;17%;;
554729;;FONTE USBC 5V 4A ORANGE;;;0;;;;;; 1;;;;;;;;;;;;17%;;
555725;;ESCONDIDINHO SEARA 300G;;;7894904296316;;;;;; 1;19,90;19,90;;;19,90;;6,000;;;;;17%;;
555738;;KIT TIC TAC BLACK GLOW;;;7896025540217;;;;;; 1;13,90;13,90;;;13,90;;1,000;;;;;Sbt;;
556525;;CANTONEIRA 1 X 1/8;;;0;;;;;; 1;;;;;;;;;;;;17%;;
556526;;ELETRODO OK 46 2.50 MM SERRALHEIRO;;;0;;;;;; 1;;;;;;;;;;;;17%;;
568313;;SPRAY GALVANIZADOR 300ML FRIO DMI;;;0;;;;;; 1;;;;;;;;;;;;12%;;
568314;;LIMA ENXADA NICHOLSON 8 08990BC C/CABONICHOLSON;;;0;;;;;; 1;;;;;;;;;;;;Sbt;;
568316;;PONTEIRO 12 PACETTA  2 PC;;;0;;;;;; 1;;;;;;;;;;;;12%;;
568318;;FONE DE OUVIDO PMCELL SLIM C/ MIC. P2 F0 11;;;0;;;;;; 1;;;;;;;;;;;;Sbt;;
DEPARTAMENTO - 2 - EMPACOTADOS;;;;;;;;;
      CATEGORIA - 1 - BOLACHA E BISCOITO;;;;;;;;;
1008;;BISC GIRASSOL ROSCA 250G BAUNILHA;;;7898016290736;;;;;; 1;4,49;4,49;;;4,49;;;;;;;12%;;
1051;;ALFAJOR SEU DIVINO CHOCOLTE 40G;;;7898567351252;;;;;; 1;12,90;12,90;;;12,90;;;;;;;12%;;
1052;;ALFAJOR SEU DIVINO CHOCO 40G;;;7898567350903;;;;;; 1;12,90;12,90;;;12,90;;;;;;;12%;;
1053;;ALFAJOR SEU DIVINO BRANCO 40G;;;7898567350996;;;;;; 1;12,90;12,90;;;12,90;;;;;;;12%;;
1160;;BISC MARILAN 300G AGUA SAL;;;7896003740189;;;;;; 1;4,99;4,99;;;4,99;;99,000;;;;;12%;;
1161;;BISC MARILAN 365G C CRACKER INTEGRAL;;;7896003738667;;;;;; 1;8,99;8,99;;;8,99;;;;;;;12%;;
1162;;BISC MARILAN 300G MARIA;;;7896003740271;;;;;; 1;4,99;4,99;;;4,99;;123,000;;;;;12%;;
1163;;BISC MARILAN 300G CREM CRECKER 3;;;7896003740202;;;;;; 1;4,99;4,99;;;4,99;;120,000;;;;;12%;;
1205;;IOIO MIX CHOCO 30G;;;7899970402463;;;;;; 1;4,99;4,99;;;4,99;;;;;;;12%;;
5454;;VISC TORRADA INTEGRAL 120GR;;;7891962052571;;;;;; 1;5,49;5,49;;;5,49;;32,000;;;;;12%;;
5455;;VISC TORRADA MULTIGRAOS 120GR;;;7891962052588;;;;;; 1;5,49;5,49;;;5,49;;32,000;;;;;12%;;
5456;;VISC TORRADA TRADICIONAL 120GR;;;7891962052564;;;;;; 1;5,49;5,49;;;5,49;;30,000;;;;;12%;;
500086;;BISC GERMANI 345G LEITE;;;7898045271782;;;;;; 1;5,99;5,99;;;5,99;;120,000;;;;;12%;;
501593;;BISC ZEZE FURA BOLO 180G CHOCOLATE;;;7896200001823;;;;;; 1;6,99;6,99;;;6,99;;15,000;;;;;12%;;
502040;;BISC RECH ISABELA MOUSSE 150G;;;7896022057077;;;;;; 1;3,99;3,99;;;3,99;;90,000;;;;;12%;;
502117;;BISC RECH NESTLE 140G CLASSIC;;;7891000051801;;;;;; 1;5,99;5,99;;;5,99;;4,000;;;;;12%;;
503886;;BISC RECH NESCAU 140G;;;7891000020777;;;;;; 1;5,99;5,99;;;5,99;;24,000;;;;;12%;;
504678;;BISC CLUB SOCIAL 144G QUEIJO;;;7622210644534;;;;;; 1;6,49;6,49;;;6,49;;364,000;;;;;12%;;
504817;;BISC INT COOKIES VITAO CAST PARA 200G;;;7896063233522;;;;;; 1;12,90;12,90;;;12,90;;;;;;;12%;;
505103;;BISC CLUB SOCIAL RECH 104G QUEIJO/TOMMANJERICAO;;;7622210661609;;;;;; 1;6,49;6,49;;;6,49;;159,000;;;;;17%;;
505238;;BISC GERMANI 175G GRISSINI;;;7898045271614;;;;;; 1;3,99;3,99;;;3,99;;137,000;;;;;12%;;
505679;;BISC NESTLE TOSTINES 200G AGUA;;;7891168100069;;;;;; 1;4,99;4,99;;;4,99;;;;;;;12%;;
505680;;BISC NESTLE TOSTINES 200G MAIZENA;;;7891168100014;;;;;; 1;4,69;4,69;;;4,69;;;;;;;12%;;
505685;;BISC CLUB SOCIAL 141G PRESUNTO;;;7622210641632;;;;;; 1;6,49;6,49;;;6,49;;240,000;;;;;12%;;
510316;;WAFER NESTLE 110G CLASSIC;;;7891000077948;;;;;; 1;4,99;4,99;;;4,99;;1,000;;;;;12%;;
510348;;WAFER NESTLE 110G PRESTIGIO;;;7891000077924;;;;;; 1;4,99;4,99;;;4,99;;6,000;;;;;12%;;
510456;;WAFER NESTLE 110G NEGRESCO;;;7891000077962;;;;;; 1;4,99;4,99;;;4,99;;9,000;;;;;12%;;
511092;;BISC GERMANI 400G MARIA CHOCOLATE;;;7898045279108;;;;;; 1;5,99;5,99;;;5,99;;200,000;;;;;12%;;
511378;;WAFER VISCONTI 120G MORANGO;;;7891962035536;;;;;; 1;3,49;3,49;;;3,49;;84,000;;;;;12%;;
511379;;WAFER VISCONTI 120G CHOCOLATE;;;7891962035529;;;;;; 1;3,49;3,49;;;3,49;;48,000;;;;;12%;;
512151;;BISC ISABELA TORTINHAS 160G TRUFA;;;7896022075453;;;;;; 1;3,69;3,69;;;3,69;;1.100,000;;;;;12%;;
512254;;BISC ZEZE COOKIES 150G CASTANHA PARA;;;7896200001533;;;;;; 1;6,99;6,99;;;6,99;;29,000;;;;;12%;;
512255;;BISC ZEZE COOKIES 150G BANANA/AVEIA;;;7896200001540;;;;;; 1;6,99;6,99;;;6,99;;49,000;;;;;12%;;
512256;;BISC ZEZE COOKIES 150G FRUTAS CITRICAS;;;7896200001557;;;;;; 1;6,99;6,99;;;6,99;;30,000;;;;;12%;;
512428;;BISC ORQUIDEA 400G MARIA CHOCOLATE;;;7896412801662;;;;;; 1;8,49;8,49;;;8,49;;110,000;;;;;12%;;
512431;;BISC ORQUIDEA 400G AGUA E SAL;;;7896412801624;;;;;; 1;7,99;7,99;;;7,99;;;;;;;12%;;
512433;;BISC ORQUIDEA 400G LEITE;;;7896412801709;;;;;; 1;7,99;7,99;;;7,99;;;;;;;12%;;
512720;;BISC CLUB SOCIAL RECH 106G MUSSARELA;;;7622210661661;;;;;; 1;6,49;6,49;;;6,49;;200,000;;;;;17%;;
512838;;WAFER BAUDUCCO 140G MORANGO;;;7891962037004;;;;;; 1;4,49;4,49;;;4,49;;52,000;;;;;12%;;
513148;;BISC ZEZE PETISK 80G SALAMINHO;;;7896200000826;;;;;; 1;2,99;2,99;;;2,99;;35,000;;;;;12%;;
513149;;BISC ZEZE PETISK 80G QUEIJO;;;7896200000819;;;;;; 1;2,99;2,99;;;2,99;;17,000;;;;;12%;;
513150;;BISC ZEZE PETISK 80G CEBOLA SALSA;;;7896200000802;;;;;; 1;2,99;2,99;;;2,99;;9,000;;;;;12%;;
513433;;BISC RECH DANIX SNAKE 140G CHOC;;;7896058254617;;;;;; 1;2,29;2,29;;;2,29;;;;;;;12%;;
513581;;BISC RECH MOCA 140G;;;7891000089255;;;;;; 1;5,99;5,99;;;5,99;;2.509,000;;;;;12%;;
513705;;WAFER BAUDUCCO 140G TRIPLO CHOCOLATE;;;7891962037028;;;;;; 1;4,49;4,49;;;4,49;;138,000;;;;;12%;;
514403;;BISC DOMELLY 300G AGUA E SAL;;;7898088104108;;;;;; 1;4,69;4,69;;;4,69;;412,000;;;;;12%;;
514411;;BISC DOMELLY 280G CHOC;;;7898088103019;;;;;; 1;4,99;4,99;;;4,99;;581,000;;;;;12%;;
514884;;BISC DOMELLY 300G C. CRACKER;;;7898088104122;;;;;; 1;4,69;4,69;;;4,69;;297,000;;;;;12%;;
514894;;TORRADINHA BAUDUCO CX 110G.;;;7891962005959;;;;;; 1;9,90;9,90;;;9,90;;8,000;;;;;17%;;
515184;;WAFER BAUDUCCO 140G CHOC AVELA;;;7891962036991;;;;;; 1;4,49;4,49;;;4,49;;50,000;;;;;12%;;
515604;;BISC BAUDUCCO RECHEADINHO 130G 515604;;;7891962026336;;;;;; 1;4,99;4,99;;;4,99;;28,000;;;;;12%;;

;;;;;;;;;;;;;;;;;;;;;;;;;
Processado por: NICOLAS;;;1 / 248;
1 MERCADO FROZZA E FERNANDES LTDA - MT;;;;;;;;;;;;;11/01/2026;;;;;;
TABELA DA LISTA DE PREÇO 1 / 1 / 1;;;;;;;;;;;;;21:32;;;;;;
Estado:  RIO GRANDE DO SUL  Valida até: 11/01/2026;;;;;;;;;;;;;Vlp403;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Código;Descrição;;GTIN;Un A;%Com;Emb;Tab1;Tab1;;Tab1;Disponível;;;ICMS;
;;;;;;;;;;;;;;;;;;;;;;;;
516916;;BISC RECH TORTISSIMAS 130G CHOC  LEITE;;;7896412802461;;;;; 1;3,69;3,69;;;3,69;;;;;;;12%;;
516917;;BISC RECH TORTISSIMAS 130G CHOCOLATE;;;7896412802454;;;;; 1;3,69;3,69;;;3,69;;18,000;;;;;12%;;
516918;;BISC RECH TORTISSIMAS 130G LIMAO;;;7896412802478;;;;; 1;3,69;3,69;;;3,69;;42,000;;;;;12%;;
516919;;BISC RECH TORTISSIMAS 130G MORANGO;;;7896412802485;;;;; 1;3,69;3,69;;;3,69;;55,000;;;;;12%;;
518768;;WAFFLE MOINHO WAFERS 280G;;;7898945660044;;;;; 1;19,90;19,90;;;19,90;;;;;;;12%;;
518809;;CHOC BIS XTRA 45G;;;7622210534576;;;;; 1;5,99;5,99;;;5,99;;728,000;;;;;12%;;
519183;;BISC ZEZE 250G CRICKER INTEGRAL;;;7896200051644;;;;; 1;6,99;6,99;;;6,99;;15,000;;;;;12%;;
519566;;BISC RECHEADO OREO 144G;;;7622210755544;;;;; 1;9,90;9,90;;;9,90;;25,000;;;;;12%;;
519834;;BISC COOKIE PARATI 60G CHOCOLATE;;;7896011107868;;;;; 1;2,89;2,89;;;2,89;;411,000;;;;;12%;;
520099;;BISC HEPP 300G BROA POLVILHO;;;7898283150214;;;;; 1;13,90;13,90;;;13,90;;;;;;;17%;;
520102;;BISC HEPP 350G MEL;;;7898283150580;;;;; 1;13,90;13,90;;;13,90;;22,000;;;;;12%;;
520104;;BISC HEPP 350G CHAMPAGNE 520104;;;7898283150511;;;;; 1;13,90;13,90;;;13,90;;2,000;;;;;12%;;
520105;;BISC HEPP 300G AMANT C/ GOIABA;;;7898283150016;;;;; 1;13,90;13,90;;;13,90;;9,000;;;;;12%;;
520106;;BISC HEPP 225G ESQUECIDO;;;7898283150689;;;;; 1;13,90;13,90;;;13,90;;11,000;;;;;12%;;
520109;;BISC HEPP 300G NATAL;;;7898283150047;;;;; 1;13,90;13,90;;;13,90;;8,000;;;;;12%;;
520110;;MERENGUE HEPP 100G TRAD;;;7898283150306;;;;; 1;8,99;8,99;;;8,99;;908,000;;;;;17%;;
520158;;BISC BELVITA 90G;;;7622300451462;;;;; 1;3,69;3,69;;;3,69;;;;;;;12%;;
520395;;BISC ZEZE 200G AGUA SAL;;;7896200002219;;;;; 1;4,49;4,49;;;4,49;;100,000;;;;;12%;;
520503;;WAFER LOWCUCAR 115G DC LEITE;;;7896292001534;;;;; 1;10,98;10,98;;;10,98;;6,000;;;;;12%;;
520513;;BISC RECANTO COLONIAL 350G;;;7898040460020;;;;; 1;13,90;13,90;;;13,90;;30,000;;;;;12%;;
520594;;BISC RECH PASSATEMPO 130G;;;7891000051351;;;;; 1;3,99;3,99;;;3,99;;112,000;;;;;12%;;
520969;;BISC OREO ORIGINAL 36G UNITARIO;;;7622300830083;;;;; 1;2,49;2,49;;;2,49;;6,000;;;;;12%;;
520993;;BISC MARILAN PIT STOP 124G RECHEADO;;;7896003703108;;;;; 1;4,99;4,99;;;4,99;;;;;;;12%;;
521081;;BISC MARILAN DISTRACAO 320G SABORES;;;7896003702606;;;;; 1;10,90;10,90;;;10,90;;43,000;;;;;12%;;
521411;;BISC HEPP 150G GROSTOLIS FINOS;;;7898283150825;;;;; 1;12,90;12,90;;;12,90;;31,000;;;;;12%;;
521593;;BISC HEPP 200G FOLHADO ESPECIAL;;;7898911682001;;;;; 1;13,90;13,90;;;13,90;;5,000;;;;;12%;;
522276;;BISCOITO SALG TUCS 100G;;;7896061300189;;;;; 1;2,99;2,99;;;2,99;;442,000;;;;;12%;;
522391;;BISC PARATI 400G GERGELIN;;;7896011105826;;;;; 1;9,90;9,90;;;9,90;;103,000;;;;;12%;;
522873;;BISC PIT STOP 80G PETISCO/CALAB/ACEB;;;7896003704365;;;;; 1;3,99;3,99;;;3,99;;;;;;;12%;;
523394;;BISC PIT STOP 80G CEBOLA/SALSA;;;7896003704341;;;;; 1;3,99;3,99;;;3,99;;;;;;;12%;;
523743;;BISC CLUB SOCIAL 288G ECONOMICO;;;7622300848453;;;;; 1;11,90;11,90;;;11,90;;15,000;;;;;12%;;
524532;;BISC COOKIE MARILAN 80G;;;7896003704471;;;;; 1;5,90;5,90;;;5,90;;;;;;;12%;;
524535;;BISC RECH TORTUGUITA 120G 524535;;;7896058256215;;;;; 1;2,99;2,99;;;2,99;;21,000;;;;;12%;;
